Country	Latitude(y)	Longitude(x)
Afghanistan	33.93911	67.70995
Albania	41.15333	20.16833
Algeria	28.03389	1.659626
American_Samoa	-14.271	-170.132
Andorra	42.54625	1.601554
Angola	-11.2027	17.87389
Anguilla	18.22055	-63.0686
Antarctica	-75.251	-0.07139
Antigua_and_Barbuda	17.06082	-61.7964
Argentina	-38.4161	-63.6167
Armenia	40.0691	45.03819
Aruba	12.52111	-69.9683
Australia	-25.2744	133.7751
Austria	47.51623	14.55007
Azerbaijan	40.14311	47.57693
Bahamas	25.03428	-77.3963
Bahrain	25.93041	50.63777
Bangladesh	23.68499	90.35633
Barbados	13.19389	-59.5432
Belarus	53.70981	27.95339
Belgium	50.50389	4.469936
Belize	17.18988	-88.4977
Benin	9.30769	2.315834
Bermuda	32.32138	-64.7574
Bhutan	27.51416	90.4336
Bolivia	-16.2902	-63.5887
Bosnia_and_Herzegovina	43.91589	17.67908
Botswana	-22.3285	24.68487
Bouvet_Island	-54.4232	3.413194
Brazil	-14.235	-51.9253
British_Indian_Ocean_Territory	-6.34319	71.87652
British_Virgin_Islands	18.4207	-64.64
Brunei	4.535277	114.7277
Bulgaria	42.73388	25.48583
Burkina_Faso	12.23833	-1.56159
Burundi	-3.37306	29.91889
Cambodia	12.56568	104.991
Cameroon	7.369722	12.35472
Canada	56.13037	-106.347
Cape_Verde	16.00208	-24.0132
Cayman_Islands	19.51347	-80.567
Central_African_Republic	6.611111	20.93944
Chad	15.45417	18.73221
Chile	-35.6751	-71.543
China	35.86166	104.1954
Christmas_Island	-10.4475	105.6904
Cocos_[Keeling]_Islands	-12.1642	96.87096
Colombia	4.570868	-74.2973
Comoros	-11.875	43.87222
Congo_[DRC]	-4.03833	21.75866
Congo_[Republic]	-0.22802	15.82766
Cook_Islands	-21.2367	-159.778
Costa_Rica	9.748917	-83.7534
Croatia	45.1	15.2
Cuba	21.52176	-77.7812
Cyprus	35.12641	33.42986
Czech_Republic	49.81749	15.47296
Denmark	56.26392	9.501785
Djibouti	11.82514	42.59028
Dominica	15.415	-61.371
Dominican_Republic	18.73569	-70.1627
Ecuador	-1.83124	-78.1834
Egypt	26.82055	30.8025
El_Salvador	13.79419	-88.8965
Equatorial_Guinea	1.650801	10.2679
Eritrea	15.17938	39.78233
Estonia	58.59527	25.01361
Eswatini	-26.5225	31.46587
Swaziland	-26.5225	31.46587
Ethiopia	9.145	40.48967
Falkland_Islands_[Islas_Malvinas]	-51.7963	-59.5236
Faroe_Islands	61.89264	-6.91181
Fiji	-16.5782	179.4144
Finland	61.92411	25.74815
France	46.22764	2.213749
French_Guiana	3.933889	-53.1258
French_Polynesia	-17.6797	-149.407
French_Southern_Territories	-49.2804	69.34856
Gabon	-0.80369	11.60944
Gambia	13.44318	-15.3101
Gaza_Strip	31.35468	34.30883
Georgia	42.31541	43.35689
Germany	51.16569	10.45153
Ghana	7.946527	-1.02319
Gibraltar	36.13774	-5.34537
Greece	39.07421	21.82431
Greenland	71.70694	-42.6043
Grenada	12.26278	-61.6042
Guadeloupe	16.99597	-62.0676
Guam	13.4443	144.7937
Guatemala	15.78347	-90.2308
Guernsey	49.46569	-2.58528
Guinea	9.945587	-9.69665
Guinea-Bissau	11.80375	-15.1804
Guyana	4.860416	-58.9302
Haiti	18.97119	-72.2852
Heard_Island_and_McDonald_Islands	-53.0818	73.50416
Honduras	15.2	-86.2419
Hong_Kong	22.39643	114.1095
Hungary	47.16249	19.5033
Iceland	64.96305	-19.0208
India	20.59368	78.96288
Indonesia	-0.78928	113.9213
Iran	32.42791	53.68805
Iraq	33.22319	43.67929
Ireland	53.41291	-8.24389
Isle_of_Man	54.23611	-4.54806
Israel	31.04605	34.85161
Italy	41.87194	12.56738
Jamaica	18.10958	-77.2975
Japan	36.20482	138.2529
Jersey	49.21444	-2.13125
Jordan	30.58516	36.23841
Kazakhstan	48.01957	66.92368
Kenya	-0.02356	37.90619
Kiribati	-3.37042	-168.734
Kosovo	42.60264	20.90298
Kuwait	29.31166	47.48177
Kyrgyzstan	41.20438	74.7661
Laos	19.85627	102.4955
Latvia	56.87964	24.60319
Lebanon	33.85472	35.86229
Lesotho	-29.61	28.23361
Liberia	6.428055	-9.4295
Libya	26.3351	17.22833
Liechtenstein	47.166	9.555373
Lithuania	55.16944	23.88128
Luxembourg	49.81527	6.129583
Macau	22.19875	113.5439
Macedonia	41.60864	21.74528
Madagascar	-18.7669	46.86911
Malawi	-13.2543	34.30153
Malaysia	4.210484	101.9758
Maldives	3.202778	73.22068
Mali	17.57069	-3.99617
Malta	35.9375	14.37542
Marshall_Islands	7.131474	171.1845
Martinique	14.64153	-61.0242
Mauritania	21.00789	-10.9408
Mauritius	-20.3484	57.55215
Mayotte	-12.8275	45.16624
Mexico	23.6345	-102.553
Micronesia	7.425554	150.5508
Moldova	47.41163	28.36989
Monaco	43.7503	7.412841
Mongolia	46.8625	103.8467
Montenegro	42.70868	19.37439
Montserrat	16.7425	-62.1874
